iter	Logloss
0	0.5984966974
1	0.5330710682
2	0.4720185899
3	0.4250479726
4	0.3876111528
5	0.3609600015
6	0.335363145
7	0.3138037268
8	0.295975049
9	0.2822664789
10	0.2709667031
11	0.2634687024
12	0.2557426076
13	0.2494758679
14	0.2440384156
15	0.2395782331
16	0.2361675411
17	0.2317036431
18	0.2297897389
19	0.2269762791
20	0.2254119614
21	0.2228059503
22	0.2201503661
23	0.2180132664
24	0.2168833712
25	0.2154572191
26	0.2137004584
27	0.2122180443
28	0.2110523071
29	0.2100041291
30	0.2090959742
31	0.2082236105
32	0.2074857231
33	0.206304197
34	0.2056880821
35	0.2048129454
36	0.2041101168
37	0.203220637
38	0.2021513724
39	0.2015730816
40	0.2007107087
41	0.1999810608
42	0.1993531593
43	0.1987658927
44	0.1979956449
45	0.1973914502
46	0.196529456
47	0.1961349208
48	0.1955732017
49	0.1950247035
50	0.1943706413
51	0.1940371283
52	0.1934722187
53	0.1933188282
54	0.1929585406
55	0.1926201968
56	0.1922632101
57	0.1918340378
58	0.1908623924
59	0.190301305
60	0.189972649
61	0.1894725789
62	0.1887787061
63	0.1882659778
64	0.1881310014
65	0.1876901782
66	0.1875491046
67	0.1872417989
68	0.1867159313
69	0.1863413958
70	0.1858956447
71	0.1856163745
72	0.1852691344
73	0.1849808958
74	0.184590973
75	0.1843053654
76	0.1840273364
77	0.1838440562
78	0.1835620777
79	0.1832483893
80	0.1830149327
81	0.1827922253
82	0.1825951591
83	0.1822861687
84	0.1819097363
85	0.1816898329
86	0.1814549064
87	0.1811883364
88	0.1807896365
89	0.1807310576
90	0.1805719848
91	0.1803971898
92	0.1802716082
93	0.1801071915
94	0.1798332136
95	0.1796791857
96	0.1790040759
97	0.1787358739
98	0.1785348381
99	0.1783124267
100	0.178206538
101	0.1780585918
102	0.1778508591
103	0.1777400245
104	0.1774406652
105	0.1771966875
106	0.1770182057
107	0.1768249668
108	0.1766244674
109	0.1764821921
110	0.1762505808
111	0.176006011
112	0.1758097988
113	0.17553733
114	0.1754373507
115	0.1751825195
116	0.1751150265
117	0.1747256355
118	0.174338446
119	0.1741604304
120	0.1741419005
121	0.1740007573
122	0.1737952036
123	0.1735827822
124	0.1733943356
125	0.1733199062
126	0.1731597396
127	0.1730360936
128	0.1727751961
129	0.1725582732
130	0.1723593684
131	0.1721882157
132	0.171959164
133	0.1718769963
134	0.1717124751
135	0.171542181
136	0.1713076247
137	0.1712081642
138	0.1711782227
139	0.1710303473
140	0.1709419407
141	0.1708597103
142	0.1707065037
143	0.1705174102
144	0.1703641371
145	0.1701119097
146	0.1699940494
147	0.1699220418
148	0.1697348893
149	0.169562234
150	0.1694669941
151	0.1692983706
152	0.1690910016
153	0.1689836531
154	0.1689026985
155	0.1687671004
156	0.1686950726
157	0.1685420053
158	0.1684193245
159	0.1682141175
160	0.1680985595
161	0.1679146581
162	0.1678117819
163	0.1676942644
164	0.1675593866
165	0.1675011418
166	0.1674164335
167	0.1672564877
168	0.1671300186
169	0.1669059507
170	0.1668248329
171	0.1667274625
172	0.166629879
173	0.1665105545
174	0.1664485813
175	0.166242097
176	0.1660947726
177	0.1659823141
178	0.1658485108
179	0.165715272
180	0.1656122792
181	0.1654976928
182	0.1652845937
183	0.1651889711
184	0.1651174194
185	0.1649883257
186	0.1649383617
187	0.1648501728
188	0.1647372737
189	0.1645403595
190	0.1642817181
191	0.1641946948
192	0.164100978
193	0.1639810312
194	0.1637160093
195	0.1636206899
196	0.1635226481
197	0.1634117019
198	0.1633394914
199	0.1632562211
200	0.1631353454
201	0.1629041876
202	0.1628132978
203	0.1627163821
204	0.1626081861
205	0.1624781021
206	0.1622963116
207	0.1622072695
208	0.1620707176
209	0.1619330077
210	0.1617521459
211	0.1616412818
212	0.1615696032
213	0.1615237692
214	0.1614344719
215	0.1613644123
216	0.161295338
217	0.1611889172
218	0.161016606
219	0.160932483
220	0.160839874
221	0.1607470227
222	0.1606883619
223	0.1605812046
224	0.1604387423
225	0.1602039938
226	0.160128852
227	0.1600024573
228	0.1598104936
229	0.1597413148
230	0.1596468222
231	0.1595272777
232	0.1594563363
233	0.1593399484
234	0.159195038
235	0.1590961123
236	0.1590186564
237	0.15885875
238	0.1584639559
239	0.1583603893
240	0.1583118477
241	0.1581700117
242	0.1580864016
243	0.1579189951
244	0.1575986094
245	0.1575051704
246	0.157388957
247	0.1572532203
248	0.1571928157
249	0.1571404141
250	0.1570831211
251	0.1570151455
252	0.1569065852
253	0.1567969452
254	0.1566485734
255	0.156533379
256	0.1564257559
257	0.1563265126
258	0.1562343412
259	0.1561233657
260	0.156055644
261	0.1559682118
262	0.1558974991
263	0.1558392429
264	0.1557227275
265	0.1556471262
266	0.1555483854
267	0.1554821114
268	0.155379631
269	0.1552962207
270	0.1552259813
271	0.1551282539
272	0.1550125834
273	0.1549413402
274	0.1548441416
275	0.1547988236
276	0.154696085
277	0.1546224534
278	0.1545023144
279	0.1544118091
280	0.1542721909
281	0.1541440684
282	0.1540454961
283	0.1539617552
284	0.1538564078
285	0.1537330632
286	0.1536325796
287	0.1535633974
288	0.1534760626
289	0.1533485938
290	0.1532451658
291	0.1531880576
292	0.1530673363
293	0.1529445017
294	0.1528634533
295	0.1528036082
296	0.1527526243
297	0.1526754138
298	0.1525528552
299	0.152465475
300	0.1524004702
301	0.1522429702
302	0.1521737122
303	0.152081043
304	0.1520118812
305	0.1519636136
306	0.1518472542
307	0.1517828402
308	0.1516760799
309	0.1515391621
310	0.1514692764
311	0.1514178445
312	0.1513443924
313	0.151294603
314	0.1512478915
315	0.1511553265
316	0.1510955818
317	0.1510333947
318	0.1509285217
319	0.1507700102
320	0.1507222085
321	0.1504657296
322	0.1503534446
323	0.1502327444
324	0.1501124325
325	0.1500570921
326	0.1499879167
327	0.1499236881
328	0.149890045
329	0.1498269893
330	0.1497733622
331	0.149640107
332	0.1495772314
333	0.1495074407
334	0.1494262248
335	0.1493855455
336	0.1493145688
337	0.1491879876
338	0.1491129871
339	0.1490130914
340	0.148947768
341	0.1488681784
342	0.1488318842
343	0.1487825426
344	0.1486946902
345	0.1486298182
346	0.1485833423
347	0.1485285593
348	0.1484746102
349	0.1483704179
350	0.1482888601
351	0.1482622556
352	0.1482214874
353	0.1481755844
354	0.148094441
355	0.148059039
356	0.148008551
357	0.1479695102
358	0.1478697826
359	0.1477583282
360	0.1476803917
361	0.1475891742
362	0.1474666865
363	0.1474267514
364	0.1473938511
365	0.1473651662
366	0.1472737404
367	0.1471996241
368	0.1471453837
369	0.1470986708
370	0.1469002601
371	0.1467668673
372	0.1466959023
373	0.1465933475
374	0.1465275372
375	0.1464617492
376	0.1463899431
377	0.146325402
378	0.1461980907
379	0.1461475649
380	0.1460695886
381	0.1459543533
382	0.1458891263
383	0.1457897168
384	0.1457695049
385	0.1457147151
386	0.1456987294
387	0.1456368948
388	0.1455793321
389	0.1455416022
390	0.1454586045
391	0.1454080109
392	0.1453075255
393	0.1450743812
394	0.1449895575
395	0.1449483704
396	0.1447860732
397	0.1447615044
398	0.1446629913
399	0.1445867539
400	0.1445103356
401	0.144429207
402	0.144365788
403	0.1442868946
404	0.1442086407
405	0.1441681105
406	0.144122736
407	0.1440728089
408	0.1440287225
409	0.1439470794
410	0.1439089967
411	0.143842881
412	0.1437694221
413	0.1436668992
414	0.1435826115
415	0.1435211722
416	0.1434626223
417	0.143372697
418	0.1432531283
419	0.1431744416
420	0.1431020578
421	0.1430412733
422	0.142950521
423	0.1428883826
424	0.1428325763
425	0.1427878321
426	0.1427168123
427	0.1426423927
428	0.1425548119
429	0.1424422245
430	0.142359571
431	0.1422727218
432	0.1422119478
433	0.1421622591
434	0.1420917634
435	0.1420106589
436	0.1419103035
437	0.1418206406
438	0.1417329901
439	0.1416763285
440	0.1416366069
441	0.1415430056
442	0.1414254409
443	0.1413837887
444	0.1413256364
445	0.1412414562
446	0.1411728229
447	0.141100498
448	0.1410101924
449	0.1409561064
450	0.1408789502
451	0.1408340549
452	0.1407673034
453	0.1407062229
454	0.1406254652
455	0.140560434
456	0.1405015724
457	0.140414355
458	0.1403350853
459	0.1402877889
460	0.1402549848
461	0.1402062112
462	0.1401909724
463	0.1401336316
464	0.1400970684
465	0.1400330538
466	0.1400197005
467	0.1399510058
468	0.139889149
469	0.1398652561
470	0.1397928166
471	0.1397129189
472	0.139675965
473	0.1396323334
474	0.1395609213
475	0.1394933398
476	0.1394146567
477	0.1393575587
478	0.1393186263
479	0.1392892681
480	0.1392489795
481	0.1391706206
482	0.1391491168
483	0.139087042
484	0.1389991131
485	0.1389234261
486	0.1388632466
487	0.1388200674
488	0.1387681734
489	0.1386850502
490	0.1386109338
491	0.1385498398
492	0.1384799649
493	0.1384076514
494	0.1383695475
495	0.1382802734
496	0.1382182469
497	0.13815373
498	0.1381263304
499	0.1380839336
500	0.1380125711
501	0.1379640144
502	0.1379227072
503	0.1378513768
504	0.1377287647
505	0.1376858696
506	0.1376754568
507	0.1375977138
508	0.1375866415
509	0.1375397161
510	0.1375306138
511	0.1374683288
512	0.1374058625
513	0.1373735732
514	0.1373174127
515	0.1372855669
516	0.1372420101
517	0.1371275656
518	0.1370716178
519	0.1370025807
520	0.136952114
521	0.1368924467
522	0.136829819
523	0.1367806548
524	0.1367065161
525	0.1366742827
526	0.1366096689
527	0.1365357394
528	0.1364334483
529	0.1363696513
530	0.1362960176
531	0.1362375439
532	0.1361769769
533	0.1361692583
534	0.1360993986
535	0.1360527586
536	0.1360037106
537	0.1359548842
538	0.1358829641
539	0.135809221
540	0.1357540705
541	0.1356866347
542	0.1356286799
543	0.1355871701
544	0.1355156135
545	0.1354304045
546	0.1353651916
547	0.1352833626
548	0.1352349958
549	0.1351900144
550	0.1350955167
551	0.1350647701
552	0.1349803026
553	0.1349120092
554	0.1348575188
555	0.1348108843
556	0.1347559074
557	0.1347299164
558	0.1346469318
559	0.1345670183
560	0.1345190272
561	0.1345018014
562	0.134414059
563	0.1343753793
564	0.1343154983
565	0.1342764306
566	0.1342065701
567	0.1341728352
568	0.1341463844
569	0.1341373092
570	0.1341015005
571	0.1340482576
572	0.1339783397
573	0.1339208303
574	0.1338021335
575	0.1337032535
576	0.1336642362
577	0.1335897472
578	0.1334580013
579	0.1334221936
580	0.1333459734
581	0.1332855184
582	0.1332515306
583	0.1331955826
584	0.1331549592
585	0.1331027081
586	0.1330631176
587	0.1330381754
588	0.1329885651
589	0.132944729
590	0.1329036972
591	0.1328523355
592	0.1327999777
593	0.1327663964
594	0.132702759
595	0.1326174419
596	0.1325589164
597	0.132487653
598	0.1324701276
599	0.1324099227
600	0.1323852327
601	0.132342139
602	0.1322920507
603	0.1322595357
604	0.132203551
605	0.1321197427
606	0.1320469452
607	0.1319969545
608	0.1319489242
609	0.1318557105
610	0.1318202495
611	0.1317605205
612	0.1317133186
613	0.1316266185
614	0.1315684111
615	0.1315486555
616	0.1315013458
617	0.1314161968
618	0.1313356154
619	0.131301408
620	0.1312715221
621	0.1312338687
622	0.1311530127
623	0.1310601531
624	0.1309852815
625	0.1309267283
626	0.1308849876
627	0.13083205
628	0.1307956142
629	0.1307316548
630	0.1307117222
631	0.130670474
632	0.1306016277
633	0.1305406545
634	0.130408417
635	0.1303333178
636	0.1302961943
637	0.1302480867
638	0.1302161954
639	0.1301577042
640	0.1301307933
641	0.1300967967
642	0.1300654614
643	0.1300035631
644	0.1299947003
645	0.1299652275
646	0.1299349647
647	0.1298873145
648	0.1298809929
649	0.1298317129
650	0.1297901669
651	0.1297225994
652	0.1296583547
653	0.129604506
654	0.1295348504
655	0.1294701304
656	0.1294121348
657	0.1293640484
658	0.1293037884
659	0.1292688207
660	0.1292353503
661	0.1291889242
662	0.1291273771
663	0.1290749363
664	0.129010916
665	0.1289458375
666	0.1288738096
667	0.1288165852
668	0.1287750733
669	0.1287152847
670	0.1286379172
671	0.1285888566
672	0.1285324136
673	0.1285220286
674	0.1284535761
675	0.1284182064
676	0.1283636807
677	0.1283136346
678	0.1282854125
679	0.1282358142
680	0.1281558845
681	0.1281182766
682	0.1280619096
683	0.1280306007
684	0.1279970936
685	0.1279358683
686	0.1278599945
687	0.1278246145
688	0.127742503
689	0.1276726472
690	0.1276414208
691	0.127593992
692	0.1275481052
693	0.1274923387
694	0.1274219688
695	0.127374025
696	0.1273257145
697	0.1272746468
698	0.1272417278
699	0.1271954497
700	0.1271513735
701	0.127118125
702	0.1270751633
703	0.127025126
704	0.1269773188
705	0.1269543988
706	0.1269121399
707	0.1268731923
708	0.1268375805
709	0.1267838112
710	0.1267228237
711	0.126654647
712	0.1265891034
713	0.1265468023
714	0.1265071301
715	0.1264668769
716	0.1264234305
717	0.1263460722
718	0.1262946192
719	0.126249716
720	0.1262236167
721	0.1261724327
722	0.1261413578
723	0.1260903192
724	0.1260490026
725	0.1260034902
726	0.1259758784
727	0.1259208686
728	0.1258810924
729	0.125826355
730	0.1257670116
731	0.125729291
732	0.1256911029
733	0.1256396276
734	0.1256024029
735	0.1255405008
736	0.1255133696
737	0.1254657666
738	0.1254294126
739	0.125400301
740	0.1253568718
741	0.1253184025
742	0.1252289288
743	0.1251636888
744	0.1251121781
745	0.1250533457
746	0.1250151783
747	0.1249799191
748	0.1249425356
749	0.1248779408
750	0.1248228229
751	0.1247778402
752	0.1247536247
753	0.1247311006
754	0.1246900086
755	0.1246142519
756	0.1245867923
757	0.124549304
758	0.1245295489
759	0.1244895761
760	0.124438975
761	0.1243798692
762	0.1243198998
763	0.1242731853
764	0.1242561542
765	0.1242248685
766	0.1241918908
767	0.1241209927
768	0.1240914792
769	0.1240745745
770	0.1240496271
771	0.1240046822
772	0.123967621
773	0.123912316
774	0.123899124
775	0.1238332184
776	0.1237928458
777	0.1237420531
778	0.1237014965
779	0.1236663688
780	0.1236339993
781	0.1235891473
782	0.1235134324
783	0.1234598249
784	0.1234060392
785	0.1233800525
786	0.1233199823
787	0.1232704437
788	0.1232230075
789	0.1231664953
790	0.1231009026
791	0.1230765503
792	0.1230161733
793	0.1229817459
794	0.1229620201
