iter	Passed	Remaining
429	1662	2203
430	1665	2198
431	1669	2194
432	1673	2190
433	1676	2186
434	1680	2183
435	1685	2179
436	1689	2176
437	1693	2173
438	1696	2168
439	1700	2164
440	1703	2159
441	1707	2155
442	1711	2151
443	1715	2147
444	1718	2143
445	1722	2139
446	1726	2135
447	1729	2130
448	1732	2126
449	1736	2122
450	1740	2118
451	1743	2114
452	1747	2110
453	1750	2105
454	1755	2102
455	1758	2098
456	1762	2093
457	1765	2089
458	1769	2085
459	1773	2081
460	1776	2077
461	1780	2073
462	1784	2069
463	1788	2065
464	1792	2061
465	1796	2058
466	1800	2055
467	1804	2051
468	1808	2047
469	1811	2043
470	1815	2039
471	1819	2035
472	1823	2031
473	1827	2027
474	1831	2023
475	1834	2019
476	1838	2015
477	1842	2011
478	1845	2007
479	1849	2003
480	1852	1999
481	1856	1995
482	1860	1991
483	1864	1988
484	1868	1983
485	1872	1980
486	1875	1975
487	1878	1971
488	1882	1966
489	1886	1963
490	1890	1959
491	1894	1955
492	1898	1952
493	1901	1947
494	1905	1943
495	1908	1939
496	1912	1935
497	1915	1931
498	1920	1927
499	1923	1923
500	1927	1920
501	1931	1916
502	1935	1912
503	1938	1907
504	1942	1903
505	1945	1899
506	1949	1895
507	1953	1892
508	1957	1888
509	1961	1884
510	1964	1880
511	1968	1876
512	1971	1871
513	1975	1867
514	1978	1863
515	1981	1859
516	1985	1854
517	1989	1850
518	1992	1846
519	1995	1842
520	1999	1838
521	2002	1833
522	2006	1829
523	2009	1825
524	2012	1821
525	2016	1817
526	2020	1813
527	2023	1809
528	2027	1805
529	2030	1801
530	2034	1796
531	2037	1792
532	2041	1788
533	2044	1784
534	2048	1780
535	2051	1776
536	2055	1772
537	2059	1768
538	2063	1764
539	2068	1761
540	2071	1757
541	2076	1754
542	2080	1750
543	2084	1747
544	2088	1743
545	2091	1739
546	2095	1735
547	2098	1731
548	2102	1727
549	2106	1723
550	2110	1719
551	2113	1715
552	2118	1712
553	2122	1708
554	2125	1704
555	2129	1700
556	2132	1696
557	2136	1692
558	2140	1688
559	2144	1684
560	2147	1680
561	2151	1676
562	2155	1672
563	2159	1669
564	2163	1665
565	2166	1661
566	2170	1657
567	2174	1653
568	2178	1649
569	2181	1645
570	2185	1641
571	2188	1637
572	2192	1634
573	2196	1630
574	2200	1626
575	2204	1622
576	2209	1619
577	2212	1615
578	2216	1611
579	2220	1607
580	2224	1603
581	2227	1599
582	2230	1595
583	2234	1591
584	2238	1587
585	2241	1583
586	2245	1579
587	2248	1575
588	2253	1572
589	2257	1569
590	2261	1565
591	2265	1561
592	2268	1557
593	2272	1553
594	2275	1549
595	2279	1545
596	2283	1541
597	2286	1537
598	2290	1533
599	2294	1529
600	2297	1525
601	2301	1521
602	2305	1517
603	2308	1513
604	2312	1510
605	2316	1506
606	2320	1502
607	2324	1498
608	2328	1494
609	2331	1490
610	2335	1486
611	2338	1482
612	2342	1478
613	2345	1474
614	2350	1471
615	2353	1467
616	2357	1463
617	2361	1459
618	2364	1455
619	2368	1451
620	2371	1447
621	2375	1443
622	2378	1439
623	2383	1435
624	2386	1431
625	2390	1428
626	2394	1424
627	2398	1420
628	2401	1416
629	2405	1412
630	2408	1408
631	2412	1404
632	2416	1401
633	2420	1397
634	2425	1393
635	2428	1390
636	2432	1385
637	2435	1382
638	2439	1378
639	2442	1374
640	2446	1370
641	2451	1366
642	2454	1362
643	2458	1358
644	2461	1354
645	2464	1350
646	2468	1346
647	2472	1343
648	2476	1339
649	2480	1335
650	2483	1331
651	2487	1327
652	2490	1323
653	2494	1319
654	2497	1315
655	2500	1311
656	2505	1307
657	2509	1304
658	2512	1300
659	2516	1296
660	2520	1292
661	2523	1288
662	2527	1284
663	2531	1280
664	2534	1276
665	2539	1273
666	2543	1269
667	2546	1265
668	2551	1262
669	2555	1258
670	2559	1254
671	2562	1250
672	2566	1246
673	2569	1242
674	2573	1239
675	2577	1235
676	2580	1231
677	2584	1227
678	2588	1223
679	2591	1219
680	2595	1215
681	2598	1211
682	2601	1207
683	2605	1203
684	2609	1199
685	2613	1196
686	2616	1192
687	2620	1188
688	2624	1184
689	2628	1180
690	2632	1177
691	2635	1173
692	2639	1169
693	2643	1165
694	2647	1161
695	2651	1157
696	2654	1154
697	2658	1150
698	2662	1146
699	2665	1142
700	2669	1138
701	2672	1134
702	2676	1130
703	2680	1126
704	2683	1123
705	2687	1119
706	2691	1115
707	2695	1111
708	2699	1107
709	2702	1103
710	2706	1099
711	2711	1096
712	2715	1093
713	2718	1089
714	2722	1085
715	2726	1081
716	2730	1077
717	2733	1073
718	2737	1069
719	2740	1065
720	2744	1061
721	2748	1058
722	2751	1054
723	2755	1050
724	2759	1046
725	2762	1042
726	2766	1038
727	2769	1034
728	2773	1030
729	2776	1027
730	2780	1023
731	2784	1019
732	2787	1015
733	2791	1011
734	2794	1007
735	2798	1003
736	2801	999
737	2805	996
738	2809	992
739	2812	988
740	2816	984
741	2819	980
742	2824	976
743	2827	972
744	2831	969
745	2835	965
746	2838	961
747	2842	957
748	2845	953
749	2849	949
750	2852	945
751	2857	942
752	2860	938
753	2865	934
754	2869	931
755	2873	927
756	2876	923
757	2880	919
758	2883	915
759	2887	911
760	2890	907
761	2895	904
762	2898	900
763	2902	896
764	2907	893
765	2910	889
766	2913	885
767	2917	881
768	2921	877
769	2925	873
770	2928	869
771	2932	866
772	2936	862
773	2939	858
774	2944	854
775	2948	851
776	2951	847
777	2955	843
778	2959	839
779	2963	835
780	2966	831
781	2970	827
782	2973	824
783	2977	820
784	2981	816
785	2984	812
786	2988	808
787	2991	804
788	2994	800
789	2998	797
790	3001	793
791	3005	789
792	3009	785
793	3012	781
794	3016	777
795	3019	773
796	3023	770
797	3027	766
798	3030	762
799	3034	758
800	3038	754
801	3041	750
802	3044	747
803	3048	743
804	3052	739
805	3055	735
806	3058	731
807	3062	727
808	3066	723
809	3070	720
810	3073	716
811	3077	712
812	3080	708
813	3084	704
814	3087	700
815	3091	697
816	3095	693
817	3099	689
818	3102	685
819	3106	681
820	3110	678
821	3113	674
822	3117	670
823	3121	666
824	3124	662
825	3128	659
826	3132	655
827	3135	651
828	3138	647
829	3142	643
830	3145	639
831	3148	635
832	3152	632
833	3155	628
834	3159	624
835	3163	620
836	3166	616
837	3170	612
838	3174	609
839	3179	605
840	3182	601
841	3186	597
842	3190	594
843	3194	590
844	3198	586
845	3201	582
846	3205	578
847	3209	575
848	3213	571
849	3217	567
850	3220	563
851	3224	560
852	3228	556
853	3231	552
854	3235	548
855	3239	544
856	3243	541
857	3247	537
858	3250	533
859	3253	529
860	3257	525
861	3261	522
862	3264	518
863	3268	514
864	3271	510
865	3275	506
866	3278	502
867	3282	499
868	3286	495
869	3289	491
870	3293	487
871	3297	483
872	3301	480
873	3305	476
874	3309	472
875	3312	468
876	3316	465
877	3320	461
878	3324	457
879	3327	453
880	3331	450
881	3335	446
882	3338	442
883	3342	438
884	3345	434
885	3348	430
886	3352	427
887	3355	423
888	3359	419
889	3362	415
890	3366	411
891	3369	408
892	3374	404
893	3377	400
894	3381	396
895	3384	392
896	3388	389
897	3392	385
898	3395	381
899	3399	377
900	3402	373
901	3406	370
902	3409	366
903	3413	362
904	3416	358
905	3421	355
906	3425	351
907	3429	347
908	3433	343
909	3437	339
910	3440	336
911	3444	332
912	3448	328
913	3451	324
914	3455	320
915	3459	317
916	3462	313
917	3466	309
918	3469	305
919	3473	302
920	3476	298
921	3480	294
922	3484	290
923	3488	286
924	3491	283
925	3495	279
926	3499	275
927	3503	271
928	3506	268
929	3510	264
930	3514	260
931	3517	256
932	3521	252
933	3524	249
934	3528	245
935	3532	241
936	3535	237
937	3539	233
938	3542	230
939	3546	226
940	3549	222
941	3553	218
942	3556	215
943	3560	211
944	3564	207
945	3567	203
946	3571	199
947	3575	196
948	3578	192
949	3582	188
950	3586	184
951	3589	180
952	3593	177
953	3597	173
954	3600	169
955	3604	165
956	3607	162
957	3611	158
958	3615	154
959	3618	150
960	3623	147
961	3627	143
962	3631	139
963	3634	135
964	3638	131
965	3641	128
966	3645	124
967	3649	120
968	3653	116
969	3656	113
970	3659	109
971	3663	105
972	3666	101
973	3670	97
974	3673	94
975	3677	90
976	3681	86
977	3685	82
978	3689	79
979	3692	75
980	3696	71
981	3700	67
982	3703	64
983	3707	60
984	3711	56
985	3715	52
986	3720	48
987	3723	45
988	3727	41
989	3730	37
990	3734	33
991	3738	30
992	3741	26
993	3745	22
994	3749	18
995	3753	15
996	3756	11
997	3759	7
998	3763	3
999	3766	0
